ensemble_strategy,n_trials,accuracy,roc_auc,pr_auc,f1,recall,precision,device,f2,meta_score
voting,30,0.9353231691711456,0.9876743114121532,0.9475819824565432,0.8266341268301222,0.9569740443605476,0.727986912095489,cpu,0.900334298334858,0.9319766061868227
voting,60,0.949838177763153,0.990727561835494,0.959256887158546,0.8596694826446669,0.9545125058990088,0.7822878171226058,cpu,0.914256836396389,0.9430509967128571
voting,90,0.9491467709894824,0.9905259928379092,0.9584953470965776,0.8581572043720239,0.9563567720622934,0.7784515685891205,cpu,0.9145547989751485,0.9429312021841294
voting,120,0.9538866342485952,0.9914548127585154,0.9626023159396596,0.8695873649934305,0.9551297781972627,0.7984100719434777,cpu,0.9190497699314207,0.9465965422993113
voting,150,0.948554812133621,0.9904367953807288,0.95852846807133,0.8570602229934987,0.957589428975932,0.7759862393449524,cpu,0.9147727793759338,0.9430322891855116
voting,180,0.9512207475655978,0.9911864975154762,0.9610581547773442,0.8629164019802189,0.953900896649363,0.7881061188921806,cpu,0.9153867087010927,0.9442481002868448
voting,210,0.9505295357878444,0.9909098409349582,0.9602494350980788,0.8618863198286633,0.9588201982067012,0.7830334525636214,cpu,0.9176200571268928,0.9450668272798617
voting,240,0.9501346203063876,0.9906256491685868,0.9593446638744542,0.8605844053243994,0.9557432751297782,0.7830263898461574,cpu,0.91536188915057,0.9436094735713386
voting,270,0.9488511571788966,0.9906908219748496,0.9589164098486752,0.857606783883137,0.9557470504955168,0.7781773009334068,cpu,0.9140330062005093,0.9428295904498271
voting,300,0.951319123005862,0.9910795702745469,0.9605028679468236,0.8635340637632085,0.9575856536101934,0.7865142496342281,cpu,0.9176661147817755,0.9451998318298442
voting,330,0.9497397535739096,0.9910990411681424,0.9609641388168818,0.8596543436259318,0.9557451628126477,0.7814876058027878,cpu,0.9149420667253267,0.9439800832413564
voting,360,0.953787917565476,0.9916318341059878,0.962641652025544,0.869252832293794,0.9545162812647476,0.7981920507725788,cpu,0.9185375525993178,0.9463876387285196
voting,390,0.949443116034758,0.9907422491186184,0.9600263281700944,0.8588241384383697,0.9557432751297784,0.7800157897118838,cpu,0.9145366169716463,0.9434246567605752
voting,420,0.9498382752611118,0.9910271193404212,0.9605391445620808,0.8597263763735791,0.9551297781972627,0.7819356468668728,cpu,0.9146134804962128,0.9436739074848149
voting,450,0.9503319074256884,0.9909591905171696,0.960085962076994,0.8609798870095655,0.9557451628126477,0.7835668748686995,cpu,0.9155109191974313,0.9439730863252478
stacking,30,0.9481598479031844,0.9910006729034228,0.9596125106615098,0.8560277614531902,0.9569759320434168,0.7746919062090292,cpu,0.9139649716429266,0.9430663736006007
stacking,60,0.9496405006520175,0.9913606917802514,0.9621812729338786,0.8590297693342308,0.9538990089664936,0.781574999634232,cpu,0.9136118314487093,0.9437324359605684
stacking,90,0.9486530900759268,0.99098957888016,0.9603586000709328,0.8566802089346851,0.9538952336007552,0.7777500214920772,cpu,0.9125598325528694,0.9425854120737467
stacking,120,0.9536892983803152,0.9917195280792828,0.9640144835103552,0.8691866666137219,0.955741387446909,0.7973972846478506,cpu,0.9192338010065488,0.9471651511722375
stacking,150,0.9540841651127928,0.9919614801654498,0.9648322062988118,0.8700968672702688,0.9551297781972627,0.7992732790504044,cpu,0.9192783349470582,0.9474811253962626
stacking,180,0.9512207475655978,0.9917021924881324,0.9638267229585982,0.8629554981235487,0.953900896649363,0.7881543361527872,cpu,0.9153997179414121,0.945188314355912
stacking,210,0.9531954712198214,0.991493060544652,0.9627739538905732,0.8681989931363046,0.9575856536101934,0.7944205030850247,cpu,0.9198022209684411,0.9470319087603228
stacking,240,0.954281598479032,0.991846409238542,0.964184371920202,0.8707703812241512,0.956970268994809,0.7991563240179494,cpu,0.92061062564248,0.947929906245009
stacking,270,0.952800360742447,0.9920991777475502,0.9649894903691604,0.866940434552798,0.9557432751297782,0.7934919842831573,cpu,0.9181932935118553,0.9470133294161858
stacking,300,0.9520104810305534,0.9919225672487022,0.9648470860600372,0.8650272537988698,0.9557451628126477,0.7902863379406299,cpu,0.917333533706593,0.946505406121048
stacking,330,0.952602927376208,0.9919684712544764,0.9649453723005468,0.8663963530472392,0.9551297781972627,0.7929826360548836,cpu,0.9176038997727191,0.9466792558274189
stacking,360,0.9528004094914262,0.991415205840713,0.962354752727679,0.8671395232256234,0.9569740443605472,0.7929719604010309,cpu,0.9189621800974664,0.9464705570351795
stacking,390,0.9524057865038452,0.9918313433084418,0.9644470241283872,0.866100154333237,0.9557432751297782,0.7922315691503684,cpu,0.9178553397606951,0.9466280457805522
stacking,420,0.9523066310799118,0.9917663426144409,0.9637725509957404,0.8658005294609664,0.9563567720622934,0.7911731842940929,cpu,0.918023225609742,0.9464966466264813
stacking,450,0.9518130476643144,0.9916131293895568,0.9633747452533438,0.8644643335115045,0.954520056630486,0.7901819566905258,cpu,0.9164023011741805,0.9455362000410048
